ID,TITLE,TYPE,IMDB_SCORE,RELEASE_YEAR,ENGAGEMENT_SCORE,DESCRIPTION_SENTIMENT,SENTIMENT_BUCKET
ts11313,DEATH NOTE,SHOW,9,2006,7.85,0.2419838,Neutral
ts20305,Naruto,SHOW,8.4,2002,7.37,0.23003145,Neutral
ts15151,Bleach,SHOW,8.2,2004,7.21,0.21731396,Neutral
ts31799,Samurai Champloo,SHOW,8.6,2004,7.33,0.32598352,Positive
ts20513,Fairy Tail,SHOW,8,2009,6.88,0.29971638,Neutral
ts35155,Gurren Lagann,SHOW,8.3,2007,7.05,0.09774338,Neutral
ts26050,Mushi-Shi,SHOW,8.5,2005,7.1,0.35892352,Positive
ts29406,Gintama,SHOW,8.7,2006,7.06,0.07211487,Neutral
ts20548,Monogatari,SHOW,8,2009,6.78,0.31601682,Positive
ts22017,Mobile Suit Gundam 00,SHOW,8.1,2007,6.5,0.005345275,Neutral
ts26322,Toradora!,SHOW,8,2008,7,0.2445619,Neutral
ts47142,Ninja Scroll: The Series,SHOW,6.9,2003,5.73,0.16041477,Neutral
ts29252,Happiness!,SHOW,5.4,2006,2.62,-0.009135313,Neutral
ts31455,Yu-Gi-Oh! GX,SHOW,6.8,2004,6.25,0.53045356,Positive
ts24199,Mobile Suit Gundam SEED,SHOW,7.7,2002,6.44,0.13808589,Neutral
ts20308,Full Metal Panic!,SHOW,7.6,2002,6.32,0.18595757,Neutral
ts53585,Natsume Yujin-cho,SHOW,8.1,2008,6.72,0.14578274,Neutral
ts42441,Michiko & Hatchin,SHOW,7.5,2008,5.97,0.19625977,Neutral
ts30083,Angel Beats!,SHOW,7.7,2010,6.72,0.16019282,Neutral
ts12930,Beyblade: Metal Fusion,SHOW,6.1,2009,5.75,0.16079062,Neutral
ts20593,Kenichi: The Mightiest Disciple,SHOW,8.1,2006,6.79,0.2628272,Neutral
ts32478,Kaiji,SHOW,8.2,2007,6.87,0.13138433,Neutral
ts20544,Ouran High School Host Club,SHOW,8.2,2006,7,-0.24088675,Neutral
ts40775,Love Hina Again,SHOW,6.8,2002,5.59,0.26424208,Neutral
ts26449,A Certain Magical Index,SHOW,6.9,2008,6.02,0.23531319,Neutral
ts52881,Kimi ni Todoke: From Me to You,SHOW,7.8,2009,6.8,0.12551773,Neutral
ts31181,Fruits Basket,SHOW,7.9,2001,6.51,0.21483256,Neutral
ts29076,REBORN!,SHOW,7.7,2006,6.61,0.14995797,Neutral
ts17906,Demon King Daimao,SHOW,6.7,2010,5.97,0.28049406,Neutral
ts30079,Oreimo,SHOW,6.5,2010,5.65,0.1361077,Neutral
ts33291,s-CRY-ed,SHOW,6.9,2001,6.02,0.30378816,Positive
ts1401,Cromartie High School,SHOW,7.6,2003,5.98,0.26524606,Neutral
ts33198,School Days,SHOW,6,2007,5.06,0.0019112197,Neutral
ts23967,The Twelve Kingdoms,SHOW,8.1,2002,6.84,0.18452573,Neutral
ts27365,Rosario + Vampire,SHOW,6.9,2008,6.26,-0.08670118,Neutral
ts36105,Sgt. Frog,SHOW,7.7,2004,6.09,0.029813476,Neutral
ts44317,Gankutsuou,SHOW,7.9,2004,6.61,0.21807964,Neutral
ts31990,Genshiken,SHOW,6.9,2004,5.55,0.14627136,Neutral
ts30146,Mischievous Kiss,SHOW,7.1,2010,6.24,0.051890366,Neutral
